Nombre_de_Curso,Seccion,Modalidad,Edificio,Salon,Inicio,Final,Dias,Catedratico,Auxiliar,Detalle
0248 ELECTRONICA 5,_A,PRESENCIAL,T-1,LAB-ELEC,12:20,13:10,LU,MIGUEL VENTURA PEREZ,,Sin restricciones
0249 ELECTRONICA 6,_A,PRESENCIAL,T-1,LAB-ELEC,17:20,18:10,LU,HILDA FABIOLA ESPAÑA GIRÓN,,Sin restricciones
0258 MAQUINAS HIDRAULICAS,_A,PRESENCIAL,T-7,LAB-MEC,12:20,14:00,LU,HERBERT SAMUEL FIGUEROA AVENDAÑO,,Sin restricciones
0354 QUIMICA 3,_A,PRESENCIAL,T-5,LAB-Q2,13:10,15:40,LU,MERCEDES ESTHER ROQUEL CHAVEZ,JOSE ALBERTO MEDINA CALGUA,Sin restricciones
0358 QUIMICA ORGANICA 1,_A,PRESENCIAL,T-5,LAB-Q2,09:50,12:20,MA,ERWIN MANUEL ORTIZ CASTILLO,,Sin restricciones
0360 QUIMICA ORGANICA 2,_A,PRESENCIAL,T-5,LAB-Q2,07:10,09:50,JU,MERCEDES ESTHER ROQUEL CHAVEZ,,Sin restricciones
0361 BIOQUIMICA 1,_A,PRESENCIAL,T-5,LAB-Q1,13:10,15:40,LU,ERWIN MANUEL ORTIZ CASTILLO,,Sin restricciones
0362 ANALISIS CUALITATIVO,_A,PRESENCIAL,T-5,LAB-Q2,07:10,09:50,MA,MERCEDES ESTHER ROQUEL CHAVEZ,MARJORIE JULIETA MARTÍNEZ BARRIOS,Sin restricciones
0364 ANALISIS CUANTITATIVO,_A,PRESENCIAL,T-5,LAB-QUIM,09:50,12:20,MA,CINTHYA PATRICIA ORTIZ QUIROA,,Sin restricciones
0366 ANALISIS INSTRUMENTAL,_A,PRESENCIAL,T-5,LAB-Q2,14:00,16:30,MA,INGRID LORENA BENITEZ PACHECO,DIANA ADIELA PÉREZ ZEIZET,Sin restricciones
0440 MICROBIOLOGIA,_A,PRESENCIAL,T-5,LAB-MIC,08:00,11:30,MA,PABLO ENRIQUE MORALES PANIAGUA,,Sin restricciones
0454 METALURGIA Y METALOGRAFIA,_A,PRESENCIAL,T-7,LAB-MEC,17:20,19:00,LU,HUGO LEONEL RAMIREZ ORTIZ,,Sin restricciones
0462 ELECTRICIDAD Y ELECTRONICA BASICA,_A,PRESENCIAL,T-1,LAB EEB,10:40,12:20,LU,MARIO ALBERTO REYES CALDERÓN,,Sin restricciones
0502 REFRIGERACION Y AIRE ACONDICIONADO,_A,PRESENCIAL,T-7,LAB-MEC,16:30,18:10,LU,LUIS ALFREDO ASTURIAS ZUNIGA,,Sin restricciones
0504 MOTORES DE COMBUSTION INTERNA,_A,PRESENCIAL,T-7,LAB-MEC,18:10,19:50,MA,BYRON GIOVANNI PALACIOS COLINDRES,,Sin restricciones
0510 INSTALACIONES MECANICAS,_A,PRESENCIAL,T-7,INST-MEC,18:10,19:50,LU,PABLO RODOLFO ZUÑIGA RAMIREZ,,Sin restricciones
0520 PROCESOS DE MANUFACTURA 1,_A,PRESENCIAL,T-7,LAB-MEC,07:10,08:50,LU,LUIS EDUARDO CORONADO NOJ,,Ver Restricciones
0522 PROCESOS DE MANUFACTURA 2,_A,PRESENCIAL,T-7,LAB-MEC,07:10,08:50,LU,CARLOS ENRIQUE CHICOL CABRERA,,Ver Restricciones
0532 VIBRACIONES,_A,PRESENCIAL,T-3,407,13:10,14:50,LU,FREDY MAURICIO MONROY PERALTA,,Sin restricciones
0969 TELECOMUNICACIONES Y REDES LOCALES,_A,PRESENCIAL,T-1,LAB-ELEC,08:00,13:00,SA,JOSÉ RODRIGO DE LEÓN VELÁSQUEZ,,Sin restricciones
0250 MECANICA DE FLUIDOS,_A,PRESENCIAL,T-3,211,10:40,12:20,MA,LUIS MANUEL SANDOVAL MENDOZA,,Sin restricciones
0799 SEMINARIO DE INVESTIGACION,_A,VIRTUAL,MEET,VIRTUAL,18:10,19:00,LU,DIANA ORALIA SALGUERO ESPANA,,Sin restricciones
0001 ETICA PROFESIONAL,A,PRESENCIAL,T-3,404,12:20,13:10,LU  MI  VI,ROGELIO ALFREDO SALAZAR DE LEON,,Sin restricciones
0005 TECNICAS DE ESTUDIO E INVESTIGACION,A,PRESENCIAL,S-12,104,10:40,11:30,MA  JU,EDUARDO MARTIN RIVERA PÉREZ,,Ver Restricciones
0008 IDIOMA TECNICO 2,A,PRESENCIAL,T-3,410,09:00,09:50,LU MA MI JU,SORAYA DEL ROSARIO MARTINEZ SUM,KARLA JUDITH MONZÓN BARRERA,Sin restricciones
0009 IDIOMA TECNICO 3,A,PRESENCIAL,S-12,307,09:00,09:50,LU MA MI JU,CARLOS LEONEL MUÑOZ LEMUS,,Sin restricciones
0011 IDIOMA TECNICO 4,A,PRESENCIAL,T-3,105,12:20,14:00,MA  JU,CARLOS LEONEL MUÑOZ LEMUS,,Sin restricciones
0017 AREA SOCIAL HUMANISTICA 1,A,PRESENCIAL,S-12,404,09:00,09:50,LU  MI JU VI,ANA VELA CASTRO MELLADO,RICARDO ENRIQUE CONTRERAS LEMUS,Ver Restricciones
0018 FILOSOFIA DE LA CIENCIA,A,PRESENCIAL,S-12,104,08:00,08:50,MA  JU,ROGELIO ALFREDO SALAZAR DE LEON,,Sin restricciones
0019 AREA SOCIAL HUMANISTICA 2,A,PRESENCIAL,S-12,103,07:10,08:00,LU MA MI  VI,HILDA MYRIAM MÉNDEZ CASTILLO DE AVILA,FRANCISCO ERNESTO CARVAJAL CASTILLO,Sin restricciones
0022 PSICOLOGIA INDUSTRIAL,A,PRESENCIAL,T-3,411,08:00,08:50,MA  JU,OTTO LEONEL SUÁREZ MOTA,,Sin restricciones
0027 BIOLOGIA,A,PRESENCIAL,S-12,307,09:50,10:40,LU  MI JU,PABLO ENRIQUE MORALES PANIAGUA,,Sin restricciones
0030 GEOGRAFIA,A,HÍBRIDA,HIBR,VIRTUAL,07:10,08:50,MA,ALAN GIOVANI COSILLO PINTO,,Sin restricciones
0069 AREA TECNICA COMPLEMENTARIA 1,A,PRESENCIAL,S-11,105-DIB,10:40,12:20,LU,JUAN ALBERTO ORTIZ ESTURBAN,SOFIA AIDALI VÁSQUEZ ALVARADO,Ver Restricciones
0074 DIBUJO CONSTRUCTIVO PARA INGENIERIA,A,PRESENCIAL,S-11,106-DIB,07:10,08:50,JU,ANDREA SUSANA LÓPEZ RAMÍREZ,CARMEN PAOLA CAMBARA CASTRO,Sin restricciones
0080 TOPOGRAFIA 1,A,PRESENCIAL,T-3,210,08:00,08:50,LU  MI  VI,NICOLAS DE JESUS GUZMAN SAENZ,,Sin restricciones
0082 TOPOGRAFIA 2,A,PRESENCIAL,T-3,210,07:10,08:00,LU  MI  VI,NICOLAS DE JESUS GUZMAN SAENZ,,Sin restricciones
0090 PROGRAMACION DE COMPUTADORAS 1,A,VIRTUAL,MEET,VIRTUAL,09:50,10:40,MA MI,HERMAN IGOR VELIZ LINARES,,Sin restricciones
0101 AREA MATEMATICA BASICA 1,A,PRESENCIAL,S-12,402,07:10,08:50,LU MA MI  VI,RAMON BENJAMIN PIEDRASANTA BATZ,ERICK DANIEL CHAJON GALVEZ,Ver Restricciones
0103 AREA MATEMATICA BASICA 2,A,PRESENCIAL,T-3,109,07:10,08:50,LU MA MI  VI,GLENDA PATRICIA GARCIA SORIA,ALEX JOSUÉ TRUJILLO ROMERO,Sin restricciones
0107 AREA MATEMATICA INTERMEDIA 1,A,PRESENCIAL,T-3,105,09:00,10:40,LU MA MI  VI,ARTURO RODRIGO SAMAYOA DARDON,JENNIFER ELIZABETH MUÑOZ CALDERÓN,Sin restricciones
0116 MATEMATICA APLICADA 3,A,PRESENCIAL,T-3,113,09:00,09:50,LU  MI  VI,JOSE ALFONSO VELASQUEZ DIAZ,EDGARD ABRAHAM GARCÍA CUTZ,Sin restricciones
0118 MATEMATICA APLICADA 1,A,PRESENCIAL,T-3,113,09:50,10:40,LU  MI  VI,JOSE ALFONSO VELASQUEZ DIAZ,EDGARD ABRAHAM GARCÍA CUTZ,Sin restricciones
0123 MATEMATICA APLICADA 5,A,PRESENCIAL,T-3,309,07:10,08:00,LU  MI  VI,LUIS CARLOS BOLANOS MENDEZ,AXEL MANOLO AGUILAR MONZÓN,Sin restricciones
